file,type,lines,start_line,path
articles/machine-learning/concept-automl-forecasting-calendar-features.md,python,18,77,machine-learning
articles/machine-learning/concept-azure-machine-learning-v2.md,python,16,46,machine-learning
articles/machine-learning/concept-azure-machine-learning-v2.md,python,10,95,machine-learning
articles/machine-learning/concept-azure-machine-learning-v2.md,bash,1,116,machine-learning
articles/machine-learning/concept-azure-machine-learning-v2.md,python,11,148,machine-learning
articles/machine-learning/concept-azure-machine-learning-v2.md,bash,1,170,machine-learning
articles/machine-learning/concept-azure-machine-learning-v2.md,python,12,207,machine-learning
articles/machine-learning/concept-azure-machine-learning-v2.md,bash,1,230,machine-learning
articles/machine-learning/concept-mlflow-models.md,python,5,31,machine-learning
articles/machine-learning/concept-mlflow-models.md,python,2,45,machine-learning
articles/machine-learning/concept-mlflow-models.md,yaml,21,69,machine-learning
articles/machine-learning/concept-mlflow-models.md,yaml,9,101,machine-learning
articles/machine-learning/concept-mlflow-models.md,yaml,9,126,machine-learning
articles/machine-learning/concept-mlflow-models.md,yaml,16,147,machine-learning
articles/machine-learning/concept-online-deployment-model-specification.md,yml,13,37,machine-learning
articles/machine-learning/concept-online-deployment-model-specification.md,python,3,57,machine-learning
articles/machine-learning/concept-online-deployment-model-specification.md,yml,13,69,machine-learning
articles/machine-learning/concept-online-deployment-model-specification.md,python,3,93,machine-learning
articles/machine-learning/concept-online-deployment-model-specification.md,yml,12,108,machine-learning
articles/machine-learning/concept-online-deployment-model-specification.md,python,3,133,machine-learning
articles/machine-learning/concept-onnx.md,python,2,61,machine-learning
articles/machine-learning/concept-onnx.md,python,2,68,machine-learning
articles/machine-learning/concept-onnx.md,python,3,77,machine-learning
articles/machine-learning/concept-onnx.md,python,3,85,machine-learning
articles/machine-learning/concept-plan-manage-cost.md,python,2,90,machine-learning
articles/machine-learning/concept-secure-online-endpoint.md,azurecli,10,57,machine-learning
articles/machine-learning/concept-secure-online-endpoint.md,python,9,74,machine-learning
articles/machine-learning/concept-secure-online-endpoint.md,azurecli,1,215,machine-learning
articles/machine-learning/concept-secure-online-endpoint.md,python,13,221,machine-learning
articles/machine-learning/concept-soft-delete.md,python,16,84,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,bash,1,45,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,bash,2,51,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,bash,2,60,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,bash,1,71,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,bash,1,96,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,bash,3,102,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,bash,3,112,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,json,8,141,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,json,7,160,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,python,1,174,machine-learning
articles/machine-learning/concept-train-model-git-integration.md,azurecli,1,182,machine-learning
articles/machine-learning/concept-vulnerability-management.md,dockerfile,11,70,machine-learning
articles/machine-learning/concept-vulnerability-management.md,bash,1,113,machine-learning
articles/machine-learning/concept-vulnerability-management.md,bash,1,119,machine-learning
articles/machine-learning/concept-vulnerability-management.md,bash,1,125,machine-learning
articles/machine-learning/feature-retrieval-concepts.md,python,33,36,machine-learning
articles/machine-learning/feature-retrieval-concepts.md,yaml,16,75,machine-learning
articles/machine-learning/feature-retrieval-concepts.md,python,19,103,machine-learning
articles/machine-learning/feature-retrieval-concepts.md,python,3,146,machine-learning
articles/machine-learning/feature-retrieval-concepts.md,python,12,160,machine-learning
articles/machine-learning/feature-set-materialization-concepts.md,python,7,141,machine-learning
articles/machine-learning/feature-set-materialization-concepts.md,AzureCLI,1,153,machine-learning
articles/machine-learning/feature-set-materialization-concepts.md,yaml,6,170,machine-learning
articles/machine-learning/feature-set-specification-transformation-concepts.md,yaml,39,25,machine-learning
articles/machine-learning/feature-set-specification-transformation-concepts.md,python,12,90,machine-learning
articles/machine-learning/feature-set-specification-transformation-concepts.md,python,8,129,machine-learning
articles/machine-learning/feature-set-specification-transformation-concepts.md,python,18,172,machine-learning
articles/machine-learning/feature-set-specification-transformation-concepts.md,python,12,227,machine-learning
articles/machine-learning/feature-set-specification-transformation-concepts.md,python,12,270,machine-learning
articles/machine-learning/how-to-access-azureml-behind-firewall.md,azurecli,1,150,machine-learning
articles/machine-learning/how-to-access-azureml-behind-firewall.md,azurecli-interactive,2,242,machine-learning
articles/machine-learning/how-to-access-azureml-behind-firewall.md,azurecli-interactive,3,252,machine-learning
articles/machine-learning/how-to-access-azureml-behind-firewall.md,json,36,260,machine-learning
articles/machine-learning/how-to-access-data-batch-endpoints-jobs.md,azurecli,1,50,machine-learning
articles/machine-learning/how-to-access-data-batch-endpoints-jobs.md,python,4,58,machine-learning
articles/machine-learning/how-to-access-data-batch-endpoints-jobs.md,python,8,67,machine-learning
articles/machine-learning/how-to-access-data-batch-endpoints-jobs.md,azurecli,1,82,machine-learning
articles/machine-learning/how-to-access-data-batch-endpoints-jobs.md,azurecli,2,103,machine-learning
articles/machine-learning/how-to-access-data-batch-endpoints-jobs.md,python,8,112,machine-learning
articles/machine-learning/how-to-access-data-batch-endpoints-jobs.md,json,10,129,machine-learning
